Src IP Addr, Fuzzers , Reconnaissance , Shellcode ,Analysis,Backdoor,Benign,DoS,Exploits,Generic,Worms
10.40.170.2,0,0,0,0,0,302,0,0,0,0
10.40.182.1,0,0,0,0,0,567,0,0,0,0
10.40.182.3,0,0,0,0,0,307,0,0,0,0
10.40.182.6,0,0,0,0,0,1626,0,0,0,0
10.40.85.1,0,0,0,0,0,588,0,0,0,0
10.40.85.10,0,0,0,0,0,341,0,0,0,0
10.40.85.30,0,0,0,0,0,309,0,0,0,0
149.171.126.0,0,0,0,0,0,1,0,0,0,0
149.171.126.1,0,0,0,0,0,3,0,0,0,0
149.171.126.10,0,0,0,0,0,6,0,0,0,0
149.171.126.11,0,0,0,0,0,5,0,0,0,0
149.171.126.12,0,0,0,0,0,74,0,0,0,0
149.171.126.13,0,0,0,0,0,108,0,0,0,0
149.171.126.14,0,0,0,0,0,9,0,0,0,0
149.171.126.15,0,0,0,0,0,44870,0,0,0,0
149.171.126.16,0,0,0,0,0,2,0,0,0,0
149.171.126.17,0,0,0,0,0,11,0,0,0,0
149.171.126.18,0,0,0,0,0,64749,0,0,0,0
149.171.126.19,0,0,0,0,0,6,0,0,0,0
149.171.126.3,0,0,0,0,0,5,0,0,0,0
149.171.126.4,0,0,0,0,0,5,0,0,0,0
149.171.126.5,0,0,0,0,0,2,0,0,0,0
149.171.126.6,0,0,0,0,0,2,0,0,0,0
149.171.126.7,0,0,0,0,0,1,0,0,0,0
149.171.126.8,0,0,0,0,0,1,0,0,0,0
149.171.126.9,0,0,0,0,0,1,0,0,0,0
175.45.176.0,2299,1213,143,11,75,4224,615,3099,441,16
175.45.176.1,2808,1973,155,509,564,3602,4010,7681,44753,8
175.45.176.2,2063,1174,140,80,57,4049,481,2854,422,20
175.45.176.3,1967,1222,155,273,63,4867,536,2940,72582,23
59.166.0.0,0,0,0,0,0,41477,0,0,0,0
59.166.0.1,0,0,0,0,0,42263,0,0,0,0
59.166.0.2,0,0,0,0,0,41602,0,0,0,0
59.166.0.3,0,0,0,0,0,41800,0,0,0,0
59.166.0.4,0,0,0,0,0,42452,0,0,0,0
59.166.0.5,0,0,0,0,0,41996,0,0,0,0
59.166.0.6,0,0,0,0,0,40384,0,0,0,0
59.166.0.7,0,0,0,0,0,39972,0,0,0,0
59.166.0.8,0,0,0,0,0,39440,0,0,0,0
59.166.0.9,0,0,0,0,0,40547,0,0,0,0
