Src IP Addr, Fuzzers , Reconnaissance , Shellcode ,Analysis,Backdoor,Benign,DoS,Exploits,Generic,Worms
10.40.170.2,0,0,0,0,0,702,0,0,0,0
10.40.182.1,0,0,0,0,0,1344,0,0,0,0
10.40.182.3,0,0,0,0,0,705,0,0,0,0
10.40.182.6,0,0,0,0,0,902,0,0,0,0
10.40.85.1,0,0,0,0,0,1335,0,0,0,0
10.40.85.10,0,0,0,0,0,227,0,0,0,0
10.40.85.30,0,0,0,0,0,721,0,0,0,0
149.171.126.0,0,0,0,0,0,67,0,0,0,0
149.171.126.1,0,0,0,0,0,54,0,0,0,0
149.171.126.11,0,0,0,0,0,1,0,0,0,0
149.171.126.12,0,0,0,0,0,16004,0,0,0,0
149.171.126.13,0,0,0,0,0,3,0,0,0,0
149.171.126.14,0,0,0,0,0,1,0,0,0,0
149.171.126.15,0,0,0,0,0,4,0,0,0,0
149.171.126.16,0,0,0,0,0,1,0,0,0,0
149.171.126.17,0,0,0,0,0,7,0,0,0,0
149.171.126.18,0,0,0,0,0,10914,0,0,0,0
149.171.126.19,0,0,0,0,0,5,0,0,0,0
149.171.126.2,0,0,0,0,0,59,0,0,0,0
149.171.126.3,0,0,0,0,0,75,0,0,0,0
149.171.126.4,0,0,0,0,0,67,0,0,0,0
149.171.126.5,0,0,0,0,0,86,0,0,0,0
149.171.126.6,0,0,0,0,0,53,0,0,0,0
149.171.126.7,0,0,0,0,0,60,0,0,0,0
149.171.126.8,0,0,0,0,0,70,0,0,0,0
149.171.126.9,0,0,0,0,0,67,0,0,0,0
175.45.176.0,1280,900,70,254,289,1586,2336,3369,17375,8
175.45.176.1,1164,678,87,92,40,2654,299,1824,225,9
175.45.176.2,1234,614,83,3,19,1696,227,1538,219,12
175.45.176.3,990,924,84,259,22,2435,1775,4372,10064,11
59.166.0.0,0,0,0,0,0,61812,0,0,0,0
59.166.0.1,0,0,0,0,0,61439,0,0,0,0
59.166.0.2,0,0,0,0,0,61689,0,0,0,0
59.166.0.3,0,0,0,0,0,61108,0,0,0,0
59.166.0.4,0,0,0,0,0,61569,0,0,0,0
59.166.0.5,0,0,0,0,0,61375,0,0,0,0
59.166.0.6,0,0,0,0,0,58756,0,0,0,0
59.166.0.7,0,0,0,0,0,59307,0,0,0,0
59.166.0.8,0,0,0,0,0,59237,0,0,0,0
59.166.0.9,0,0,0,0,0,59055,0,0,0,0
